body,emotion
"What exactly is being tested wrt ?  Being None?  Being of length greater than zero.  I know PEP8 encourages this sort of semantics, but it is a pain in the butt to me to understand the intention.",0.0
"You can pass a tag name into, which then behaves essentially like , but during parsing. So it's affected as well.",1.0
@azimux  what do you think?,1.0
"ok, I was just following step 2 to set up a project (as described in your post  with 
That's why I did that change.

Perhaps, a simple RE",0.0
"I guess you can simplify things and make the code more general, have a look to this simple implementation:

I would expect to use a SourceModel which is a container in this way:
",1.0
"There's a small problem here - in 1.8.7, there's no :",1.0
"outside of a bottom margin on entry-utility they were styled identically.  to target the former entry-utility you could use.  probably could go either way, but i thought it was redundant... to have 2 
separate classes.  ",1.0
Reassigning a variable another value is generally a bad idea.,0.0
"It will just use the ruby in the PATH.  We could hard-code it to be safe, but it seemed like a potential referential integrity problem.",1.0
better use this syntax:,1.0
an empty message with a color kills the client with,0.0
"The  state is interesting. When I was originally thinking about this problem, I was imagining more states.  For example: a  could put you in a  state, but then on the next character you would exit that 
into one of three states: ",1.0
The user object here is actually the one created from the fixtures that we're modifying.,1.0
"Typo fixed and added a  for the unit test (you can reassign this later).

I thing the this method is a closer fit to the other conversion methods in  as things are right now.  The only things in are the actual model clas",1.0
We should have a helper function for determining whether guest authors is enabled. Noting to update later.,1.0
"I'd rather keep the classes different. A child theme that would want to, say, float entry-meta to the left would need to add extra to override the footer. Just because they are styled the same in 
thematic doesn't mean child ",1.0
"This method needs to be used in a few more places.  Or the underlying, which iterates through the set members resetting the patterns on each one.",1.0
"I would either move this up to , or into a select statement

",1.0
"I personally like not having to type the quotes, but yeah if it changes in the future we can update the docs.  Nonetheless, this is fine for now because it *does* work with the quotes anyway.",1.0
"You mention that this option defaults to true (as it should!) but it's actually not defaulting to true.  It should be included in the default  (see the  method in ).

Alternately, if we come up with ",0.0
Basically it is to enhance the IRB shell capabilities,1.0
"Note that this is updated.  I did manage to update the commit range, and it shows the new diffs.  Maybe I should target the pull request to agil, though, not develop.",1.0
"That would be cool (although it seems pretty solid as well). Your call (although, perhaps in a separate pull request if you want, so this can get in?). :-)",1.0
With the above change this is no longer a public member either.,1.0
"I guess.  It just feels weird to have a file that's under rubber's management but isn't a template so it can't be customized by a user.  But, it's no worse than what I'm doing currently.",0.0
"I think we decided on a fix, no?",1.0
it is formatted. looks quite pretty :) ,1.0
moved the comment remover in the backend,1.0
Agreed; is now part of the approach for the allowance of both tag and type,1.0
probably should be a global constant of a class-level method on ,1.0
"I agree. Plus this is hard to understand, to my opinion (I mean, the multiple drivers thing).",0.0
"I wouldn't have the constant check.
You do need a check for  through if you don't have this test.
",1.0
"Also here, use methods  and  from the interface",1.0
"This was, I think.  We may want to move parts of this to Session or whatever that becomes.",1.0
"That was used for the which is now history, I think.  This routing would be handled in the new rack based stuff when it arrives.  I will delete it.",1.0
"Yeah, that is good feedback!",1.0
No we  don't use the values in the monitor to determine which hyperparameters to select as part of the cross-validation algorithm. ,0.0
"I see no problems with that ;)
Help a noob here... should i make a second PR or is it possible to edit this one?",0.0
"Kinda hacky, I know. :(",0.0
"In my specific case, the error is , but in reality, in under what Exception would it be okay to leave an Order in an non-completed state when there is a valid processed payment for the Order?  Also, I 
imagine there are many different Excepti",1.0
is used in ordering the feed. ,1.0
"is redundant. Just declare in the config, add to the transformer element and @Autowire it.
IMHO...",1.0
You'll get used to it ;),1.0
Has this been removed for a reason? It was added in to handle elements with a negative scale value.,1.0
I think you need to check for NULL and return an error here.,1.0
This doesn't allow for multiple plugins on the same page.,0.0
For caches we do not pull specific branches; every cache is intended to have all available changesets.,1.0
"It looks like is pretty well supported (FF, Chrome, IE 9), so to simplify things maybe we should just use that?",0.0
how could I not do this after all :smiley:,1.0
should use method to return a http 500 instead.,0.0
"> Is this not what  would do?

Well spotted. Do I already need glasses for documentation now?

-- 
Mark Lawrence",1.0
No good reason. I just removed it.,1.0
"agreed, I'll fix this.",1.0
But couldn't we just insert it in the namespace environment?,1.0
"I already test for autoplay and loop working, so this just tests that they are set when they would be read.  This is fine.",0.0
" can still be named plain , so this line could be reverted.",1.0
"As zac was saying you'll need to work with Select elements, here's an example on how to: ",1.0
Shouldn't this be replaced with assignment to setter rather than just remove the line?,1.0
"Similar to the comment above, what happens when you call when 0 for some of these fields?",0.0
"What was wrong with?
Can you try setting this to 2L?",1.0
"No, this is pending, I'm not really sure about that and I thought to go ahead as it is now.",1.0
Patched and released to RubyGems.,1.0
"Can you help me understand what I need to replace?  The docs on that function are pretty opaque and its implementation is just an indirection layer, so it's not clear to me what, precisely, is being 
duplicated.",0.0
This would be an example of something I would want perltidy to *not* fix. :-(,0.0
I know it was there already but while you're at it:,1.0
"There is a 

No need to go over the Server instance.",1.0
"One problem we have is that we leave it up to the templates to decide whether to indent or not (which you've obviously discovered!). I think perhaps the best way to deal with this is keep track of 
which was requested by the templates. This can be done [he",1.0
what is the purpose of these variables?,1.0
i still dont know what this does differently than built in jasmine mocks... Any idea/opinion? @denniscollective ,0.0
you're mixing spaces and tabs in this file. Probably convert everything to 4 spaces for consistency.,1.0
"Is this block here in case the config dict has a key where the name of the mode is not  but just ?  If I am reading this correctly, in this case, you just switch to that mode directly.  This logic happens 
after the first line regexp has ",1.0
"It does happen. Code falls through and returns a 0 in the event of an error.

Is this considered bad coding style? I could see how it may be considered obfuscated",0.0
Extracting the Ray code out into its own class was necessary for making it easier to do UI testing.,1.0
"They actually can access everything, as spells are passed an instance of. ",1.0
soo previous docstring for format comment,1.0
"We should utilize mutator methods instead of setting the property directly. Not a big deal, but this way if we want to add some validation or something later, we don't have to go through and change 
it later.",1.0
"no need to indent the content of fenced code blocks. However, you need to add the opening PHP tag otherwise the syntax highlighting would not recognize the code",1.0
Why not do it here too just to make sure?,1.0
"Actually, after looking it up, it seems you can only alias a namespace the compiler has seen a declaration for already. So the right substitution to make would be something like:

becomes:",1.0
I dont see this happening in the migration.,0.0
"sorry juste figured, this have nothing to do with your commit",0.0
"well yes, and so was  before that - but in fact in some cases it seemed direct declaration of dependency was required in the past -  some cases a compile scope dependency was depending on junit 
version x and that was overriding ",1.0
What the fuck is wrong with you? You do understand that it MATTERS which order the coordinates are input in right? If they are not sorted shit won't work.,0.0
"None of the Windows editors I tried select the line when you go to it; most just put the cursor on column 0.  Personally I think that's better, since usually when you go to a line you want to read it 
(rather than copy/cut/delete the whole line), and it's ",1.0
"Unfortunately the  method on a user is very expensive, so we need to be very careful where we're using it, or find a way to optimise it.",1.0
"I think that ruby build scripts will just use  anyway, if you set . But I could be wrong.

The thing is, it's really hard to detect whether libyaml is properly installed. To be sure, you need to compile and link a program aga",1.0
"Yeah - I guess it is quite ambiguous.
I'll merge in the other changes shortly - thanks for the contributions!",1.0
Do you think we need to have open and close strings other than the default ones?,0.0
I've seen this in examples around the web...,1.0
"same here, or we can just check the range and assign, something like:



otherwise throw or n",1.0
     The spanning tree has at most N + 1 edges.,1.0
tabs look a little weird here?,0.0
"Unless is correctly published in all cases, this is not thread-safe.",0.0
Please don't change that neither. I could be please to add you as a contributor but not as an author (an author in general don't change).,0.0
"Agreed. But there's also ""using namespace llvm;` to detect when using the other method.

The good thing is that once done - we could recompile any LLVM application without changes (and maybe even submit this patch to the Houdini folks ;)).
",1.0
"Thanks Artem, We can actually remove this element as the transactions will be handled by the poller in case of an inbound adapter",1.0
"Or not. I personnaly think scrollbars are useless in that situation, except as an indicator of where you are in the view.",0.0
Can these be removed too?,1.0
Do these paths need to be updated?,0.0
Probably should have his own index or something,1.0
I'm seeing this pattern a lot in these views.  Can  get refactored to eliminate this duplication?,1.0
Removed -- also added a comment indicating that empty value is equivalent to accept all,1.0
I'd make 13 a var somewhere instead of using a magic number,1.0
"Instead of forcing users to call manually, instead we could use a to automatically add the  before compiling the module.",1.0
"Old habits die hard, I actually noticed the full exposed window, but somehow my fingers just typed 'w'",0.0
This is accurate to what they were shown (instead of us re-parsing accept-language headers.,1.0
"When you're going to test, please take a thorough look at this function. I believe I've coded it right, but I am somewhat unsure that it all works out properly for everyone else.",1.0
Need to prefix this with  and for the locator you need to reference the one on line 69 above so remove  . This will make it reference the local variable rather than the class variable!,0.0
"Should be for any type of track being added, regardless of origin (cue, plugin, etc)",1.0
"We should probably just remove the rvm specific stuff and force an upgrade to rubybuild
While this script may work, other things might break since we removed rvm references from other places like crontab, etc",0.0
"I think if we are going to spend the effort to update the deps, we should spend the effort to minimize there declarations as well.",1.0
Been writing a lot of iPhone code lately... does it show? :P,1.0
"Good catch. I guess this is similar to file quick open where you can have the same file names in different directories. Yes, this is a bit of work since the results will have to be changed to differentiate 
the two. ",1.0
Have you reviewed all the other annotations? Whether they make sense on methods?,1.0
"I think  needs to be escaped here, otherwise this isn't safe against injection. The URL validator is perfectly okay with e.g. .",1.0
Missing space before IF and open parenthesis,1.0
"Sure thing, Patrik.  The durable mailbox implementations would then be responsible for their own timeout handling - which i'm understanding Viktor's point to be as well ""caller who should decide"".

Thanks for the feedback!",1.0
"according to the style guidelines (for gecko/gaia?) this should be
",1.0
Same thing with this imports as above.,1.0
"ugg ""from the about link"" should be ""from the above link"" ",0.0
"I'm not a fan of the name of that face, since it makes it hard to search for in this file.  And I'd prefer to use or inherit  as the face of the commit hash.

It's definitely a great feature to have.
",1.0
"Can you hyperlink method names?

eg. instead of  do ",1.0
"you know, we could do this one on the backend too.
",1.0
"Either way, i removed the unloading bit. Not having it doesn't seem to affect any of our existing tests.",1.0
I would use to be sure not to overwrite some previous condition,1.0
but that might be unreadable terrible craftsman code,0.0
Changed to use  module as elixir master [returns a keyword now],1.0
"Wow, overlooked while copying from one file to another.
Fixed.",0.0
I think  was passed here to make  output which connection was used. Did you consider this not useful?,0.0
I added a documentation snippet from the official xml spec,1.0
"Oh, worth mentioning, it would also be semantically correct to use here, but since the internal executor is only 8 lines of code I figured why not avoid the overhead; there's no reason to dispatch to a 
thread pool when we know the ",1.0
"not sure if you meant to type this or not, i might have written ""...infact the last 4 digits are ignored""",1.0
"Yep, you are right, the problem is that we don't know if more headers have been added.
Another option is to create a 'refresh' method and call it from outside every time a new header is created/removed.
Makes sense for me.",1.0
"Also, you might mention that they only need to set this once. That is, we won't overwrite it if they don't send it to us when updating the user.",1.0
Quite right!  Error fixed and pushed.,1.0
"Ah, that makes much more sense. Thanks for all your contributions by the way.",1.0
The deleted line contains 4 spaces,1.0
"That is a good question...I would imagine so since it's using perl, and will setup a whole new perl environment within that seperate binary?",0.0
"This is not catching cases like  where  is a stored value. 

In my exampe, it works, but I'm not sure if the variable is extern, or gets changed along the way, the compiler will understand that this is ",1.0
You only seem to use  and  so what's a point of adding  and  and use of getters are even more confusing.,0.0
"If anyone could review this bad comment line and tell me if there's a better way to go about this I can go and fix it.  seemed too complicated.

**Example and caveats**",1.0
Should this be public?,0.0
"Probably should cd to  first.  Rather than CDing around and relying on CWD, I usually prefer to use explict paths:

e.g.
",1.0
"This should have a docstring or (since it seems internal) a prepended underscore.

Actually, I think both would be good (no need for a doctest, just explain what the function does and that it is internal.)",1.0
"I'm not going to accept changes that will change our public API to include hacks or workarounds.

We just need to find better way to do this.",0.0
 isn't defined here I think,1.0
"Stop dupping the , just stick it in a variable.",0.0
"This could be DRYed up in a similar manner to the in the controller, since the always has the same value, and only the value of the changes.

So, something like",1.0
"removing account shouldn't be done on the UI thread. Since we already have an, removing the accounts here. ",0.0
"I think you are right.  I'll make sure tonight.. wasn't sure if the Node version was different since I switched to using the ""CommonJS"" form of the syntax.  If so, I'll remove; good question.",1.0
"This should be done in the package task(s) and/or a develop script as I mentioned, not when extension manager is initialized.

Inline html is also not acceptable. There should be a template (that is version controlled, i.e. not gitignored) tha",0.0
"Sorry, read a bit more and realized that KML takes more timezones than just UTC, my bad. I'm not sure what to think now...",0.0
LiveDox must have his own subtitle,0.0
"It's only using this value to clear ALL events on the queue, I think. Unfortunately I don't think there is an easy way to know how many there are.",1.0
"Since we should ideally move to  and eventually extend the features here with more specific/optimized logic, that's why I suggested to use ",1.0
Why don't we just reuse the same config option to use a dispatcher for all of the remoting?,1.0
"Yes/No/Not-really.
I found [this
But you basically can't catch only some type or exception, or you need to use a switch case each time and re-raise them.
In the other hand, you can throw any",1.0
"I don't think these tags are a good idea.

When used in this way, they provide no benefit (the docs are inherited by default); they add unnecessary noise.
 tags are really intended for when you want to supplement the inherited",0.0
"Yes, that's exactly what they are.",1.0
"you need to do something proper on the exception. It is very important to handle it well. We don't want to show the user the exception trace. Handle it, show a proper message to the user.",0.0
"hum...strange about the import .
",0.0
I did not know; because you feed it an array I assumed it was escaped by Doctrine,1.0
"lol. You should go ahead and get started on phpBB 4 so you can use those guidlines. If you get it started, it might not take so long to get it done when we get around to it.

Just kidding. :)",1.0
" and  are different things. I think everyone supports blur, am I wrong? The issue with IE, as I understood, is that they are adding spread. So we would need to output one more variable than we have 
been, not one less. ",1.0
"i had thought of that but then decided not to change states, what i really wanted was  and , but this ain't haskell :)
can we rename  to  or something that resembles module and  to ?",0.0
The arrows should be aligned and those strings in double quotes should be in single quotes as per the puppet style guide,1.0
We'll have to carry this one forward as something we still want to fix.,1.0
"Can you rename  to something less verbose? I think  is fine, as it is  that is finally concerned with what to do with the contents.",0.0
 is the correct check here.,1.0
same remark about the PEAR coding standard for if statements : this is how it should be done : ,1.0
Then in the action something like ,1.0
"Is there a way to tune perltidy to allow the original? That is, if the only argument to a function or method is a hash ref (or array ref, for that matter), have it open on the same line as the parens.",1.0
It would help performance in the server itself,1.0
"This seems incorrect. MPTT was also released, right?",1.0
"That's a good point. I'll merge them in at the same time.  I left them out of my initial sync for some unknown reason, and then got hammered with audits for projects more urgent than ""simplify day to 
day workstation administration""

Sent from my HTC Insp",1.0
I left that change for another day.,1.0
Suggest we add a comment about how to get this to run in STS...,1.0
"I'd argue that this isn't enough actually. Instead, why not put this in  where it can be emitted from the Butter object and will have the correct  wrapper already.",0.0
"Do you use values in the monitor to determine which hyperparameters to select as part of the cross-validation algorithm? That's almost certainly very wasteful because it forces you to compute the 
validation error at least twice when it's only necessary to",0.0
might have been a dumb comment.  seemed like it wasn't necessarily user specific code.  I think I need to catch up a bit.,0.0
"Actually, I was able to copy paste the new regex expressions. I can't share the code easily yet, but I left a comment out factoring out the functionality into a share JS intelligence module",1.0
"Better if we after that.
",1.0
That is how you do block comments in coffeescript,1.0
Can't this just be?,0.0
"If the user selects subject there is no issues at all.  Say the user selects Attribute and the name to be say """", if the user now sets something like ; in the free from JIT field, as long this value is correct the 
assertion wo",1.0
"As for the  command, these help descriptions should include a verb. Just adding ""list the"" to all of them as in 's would be great.",1.0
Gotta find a way to not print out the cloning bit.,1.0
is definitely not required for minimal hacking. I rarely run it at all.,0.0
"Hmm, you might consider checking if the shake name is a number, and if it is assuming it's an ID so you can skip the extra API request. Looks like there are some shakes, such as, that are named with 
numbers, but since you can ",1.0
"the needs to be caught and logged. Carlos, I am thinking closing the selector manager itself is bit extreme? I will make that change and merge it in, if its okay with you",1.0
really - will this break brew updates?,0.0
"if you are refering to and , it was done so the unit tests would pass. cli assumes you only are parsing args once per execution.",1.0
"The problem is that MSTest would not copy  into the  directory, so when tests that used would fail because the dll is not in the path.

[Here's some documentation I found on the matter.]",1.0
I would rather see us come up with a well-defined way of injecting heira data so that it's safe for us to always clobber the with our stadard version,1.0
"This occurs when you type @ plus something else and then delete backwards. It's triggered when the @ is deleted since no plugin will match. This code gets hit more when the is enabled, but since the 
code requires the matching character to ",1.0
You have to have a constructor anyway.,0.0
">This will work if you stick on only delivering an x86 version of.

Well - looks like @kgybels is already bumping up against that limitation on his repo. So I guess we'll be changing over to amd64.",0.0
Yes.  I added it here too now.,1.0
this restrict it to the ORM as you are using the old Symfony interface instead of the new Doctrine interface used in all Doctrine bundles in 2.1,1.0
I still don't get why you need this attribute since during the fit you can pass that should serve this purpose in the path function,0.0
"Yes, this is IMO the correct cross platform way.",1.0
"Removed, as mappend wasn't being used in this module.",1.0
why not ?,1.0
I didn't have any problems compiling Ruby 1.9.3-p194 on an .  But the dots probably make sense as a progress indicator if nothing else.,1.0
"Guys, but I really don't like this name...
We write code, which is reading by many-many people...
For me Spring always is archetype. And I can say the same about others.
",0.0
you should use otherwise some time will be spent centering the data which is not necessary here,1.0
"true, and I can't see any problems as such with it, I'm just saying ;)",1.0
"Here's a case where you could iterate over results from the query returned by (renamed to) and serialize them one by one. We would eventually change this code to construct the archive zip files on 
the fly rat",1.0
"There is a special Select helper class with WebDriver:

It will allow you to select and deselect within Select elements.",1.0
"same thing as with the previous ""result""",1.0
It would be preferable if you could use tabs when you modify this project.,0.0
I should probably add measures to if we want them to be useful. Right now it's very difficult to index into the measures array to find the values for a specific part.,0.0
... and gets a new folder name. To make it better readable I would store the path operation in the same variable. Further asserts in this test could benefit from.,1.0
Well there was definitely a typo here. Do you get the expected result? If so please update the pull request for  and I'll merge it.,1.0
"Do we use the start year of the project or the file?  The file was created in 2011, not sure where the 2008 came from.",1.0
"Did you want to swap in the upgraded regexps that Glenn came up with, or wait until later?",1.0
I think it makes more sense to access the controller from the dialog code.  Context menus do it that way,1.0
"This is unnecessarily inefficient, imperative, and mutational.  And given that you immediately turn it into a list, just make a list.",0.0
The quoted strings are an artifact of variable interpolation in ,1.0
"Will fix -- I didn't read the ""Contributing"" file before contributing. :)",0.0
"this one is a bit tricky, i'll hack around tomorrow to find great solution.",1.0
"A  state sounds superfluous, specially if it's only going to set . You can just skip it.

",0.0
"Very good. But can you also change Mirage so we do not have to use extra time in fixing it, too?",1.0
""" No newline at end of file""",1.0
kind of seems like its just testing if the URL is formatted correctly,1.0
can you remove the space behind the  and put each statement within the if block on its own line? Closing curlies also belong on their own line.,1.0
"Could you explain what exactly is being done here?  Also, since I'm extending the Joomla Platform, you should be able to get the  superglobal through JInput (try ).",0.0
"To clarify, does the HTML file get written to ? Also, isn't in source control. Should it be added?",0.0
HI Matt - we're going to deprecate files soon which is why it was removed from the master code - do you have custom code that uses/relies on this?,0.0
"Read below:

>        # Provide a wrapper for 
>        # to ensure that any exception is printed straight to.
>        # Normally associates the reply with an execution,
>        # whic",1.0
Store a reference to the container,1.0
"Walt, Jim,

You should pass the database that came from the function to function to avoid cross threading issue.  Calling without a database parameter uses the database that was create from the main pylons 
application thread inst",1.0
"Add a parrameter, true or false?
And let that one decide weather to catch doted files or not.",1.0
I agree. I basically went off the original JIRA but I am more than happy to change this to something less obtrusive.,1.0
"For this particular call we are resetting the documents position from (0,0) to where it was before we switched from another document.",1.0
"so at a higher level, the wsapi handlers will need to verify a password is provided if required.",1.0
"Let the application override this to decide if it wants to load IP bypass flow, or regular flow. ",1.0
"Switching to  is good thing in this case. But this:

and this
",1.0
Needs a better name than  like  to match ,0.0
this is a good pt but won't be necessary after I make the changes above.,0.0
"Just checked out the recent commits, I think those are much better!  Looks like it'll fail now if the thing we're testing is not executed.",1.0
This is equivalent to the chord stuff when obscuration.  We still need chord and all the rest for when obscuration.  This basically skips a bunch of multiplications by 0 and such so it's faster if .,1.0
"You don't have to change it, but in is good practice to use this: .
It will prevent this kind of bugs . It will save you a lot of time debugging. ;)",1.0
"Maybe it's particular to our usage scenario, but the fact that every build is working on a given branch (whether it's default or any other named branch), made me think that everything should be 
working as before by just pulling the requested branch (or de",1.0
"I think  we won't find any answer in the git doc :-) But we should at least try to figure out some answers, and then express them as  unit tests.",1.0
I'd perform the  in  rather than require the value to be escaped before it's passed in.,1.0
what's this for? is it hold over from josh?,0.0
This should be for in result,0.0
"Needs retesting - It would have always failed this test before. 
",0.0
It's not immediately obvious what this means,0.0
"Same as above, just return the result directly.",1.0
"Am I being totally dense, or is this a square region?  (If so, I was a little confused by the mention of R at line 390)",0.0
Please also pull to remove the now redundant check,0.0
Did you try to dump definitions for this class? I don't think the class definition is really needed as 's runtime definition would probably discover the same values.,1.0
Want to add the Stamen map types as well?   ,1.0
:) Ya probably not. ,1.0
"Ideally we would leverage here instead of having our own mapping/constants.  If that's tricky to do at this point, could you add a TODO?",1.0
Okay.  I'll look for/write a template tag which fixes the URL so it's always absolute.,1.0
"Looks like this is a heisentest: may pass even without the change, if you're in the right TZ - ?",1.0
"Works for me, I wasn't sure if preserve the original order of keys and whether that would be useful or not.",1.0
"I wish it made sense to me. I don't think gabe ever actually do a ""thor new"" on a brand-new machine.",1.0
Please make trip a symbol,1.0
"I agree, but this will bring other changes.  Marked as a todo.",1.0
"Is there a reason you did it this way?  To me, if there is a session owner it should define the auto close behavior.  But maybe you ran into a practical issue there?

Specifically I would think:
",1.0
I thought we should do this for other accordions like activities and the as well (specifying the ). We can do that in another commit though. ,1.0
Just checking these off as I go.  Done,1.0
moved to ,1.0
"Can't you join them two? Also, shouldn't this be recursive? ",0.0
"according to this that's actually not the case...

but after reading that again, I'm going to change this to be a HTTP request to ensure that we don't do this mid-update.",0.0
"Ah, I see, that's  for ruby client and you're doing this check few lines above.",1.0
"If I change it to this, then it works as expected (and fails if I comment out the call)",0.0
"I ran 'rake' on this branch and it failed, and I believe the following patch will fix it.

If this look ok, can you update the pull request?",0.0
"nit: by repeating  at the end to close the triangle, the beginning/ending vertex corner is drawn as two lines butted together, rather than coming to a sharp point like the other corners. If you instead 
use  as the last element, the shape wil",1.0
"Sure. I wrote it that way as I had in mind to add a class for deprecated vars, so they could be visually distinguished.",1.0
whats this function doing in here?  it probably shouldn't exist since its only called once.,0.0
"I thought you would have preferred just doing string replacements. But, if it's DOM you want, this is good.",1.0
"I think ""group generated is"" instead of ""generators are""",1.0
Don't need this line if you do the changed above,1.0
This title should have the same grade of importance as,0.0
Do not continue from this point if there is no baton,0.0
"Here you re-introduce a 'superfluous' else (according to @samueltardieu) , as the previous condition leaves the method. I am not sure if I am in the same boat with him in this case, but I wanted at 
least to ask if it was a deliberate decision or an accide",0.0
yea i'd merge as is. Everything else can be added later,1.0
"ok, let's keep it like that. so the IDE will tell the programmer when he actually uses the event.",1.0
"Nah, ""object"" should be fine; all objects are of anyway. If PhpDocumentor complains, we'll change it.",0.0
"This should be  rather than , right?",0.0
This is the relevant change; the others are mainly PEP8 changes absorbed after a rebase.,1.0
"Hmm, this doesn't look quite right.  Needs checking.",0.0
"You're right. What about this? ""By default is empty () and assumes the system default temporary directory.""

",1.0
"Note that these items have been removed because they're no longer relevant - they're doing an incomplete job of something that is now covered by .  SQLQuery is now All SQL Fragments, All The 
Time. ;-)",0.0
Do you want to try moving the unicode character to the end so it's the last thing before the newline?,1.0
Yes.  Good catch.  I'll add that documentation.,1.0
"I'm carrying across micro-optimisations from writing userscripts in javascript. Probably isn't even faster in Java...

I've spent far too much time working on code which has to run up to hundreds of times per page load in JS, and it's ruining my ability",0.0
"this should be:

Also, I am not sure we want to do this: if an ops sets an, do we really want to remove it when it's not set in the config file ?

I'd say no",1.0
Its only as big as it needs to be while sets a defined size,1.0
I mentioned earlier best to use  here because it better matches the intention of this property.,1.0
Should this use for consistency?,0.0
"That line is unnecessary, the assignment is unused except as a return value.",0.0
"ensure that when a single file is sent in, the output is a single file and not a list.

",1.0
"You cant do this, my system gets two devices with the same, you must use the GUID, this is exactly what Microsoft intended it for.

Also no for platforms in at all please",0.0
"You're right. I glanced at it very superficially, and assumed that was the
problem. Here is the error I get when doing a query count of the following
filter:",1.0
We need an additional test with no filter enabled.,1.0
Fixed in next push; quotes are also removed for consistency,1.0
"agreed, I will adjust it.",1.0
"It says here, but in you have .  Is one of these a typo?",0.0
"Sorry, but I am removing this line for now, as it's under discussion and we don't confuse the user with another choice that is a duplicate of an existing choice. If you feel strongly about this, please take 
it up with MarkP, it's ultimately his call.",0.0
"Can we get rid of the redundant local variables here? (""function""). 

Also, I think you're overdoing the comments a bit here. Get rid of the ""loop over X"" comments.",0.0
"Is this replicating code in  ? If so, can we do without the former now?",0.0
"This is pretty minor..but it's good in doc comments to surround named code elements (like options) with backticks so they stand out as code elements.  So this last line would have  rather than (or 
whatever",1.0
"so in essence, the ""app"" folder is special, all other folders will be referenced with the name of the containing folder.",1.0
"I should specify: I believe defining numpy arrays as a *function argument* leads to fast indexing, but defining arrays as variables does not.",1.0
"I think we could do this instead with a companion object so you don't need to make mutable.

So:
",1.0
"I see you have made this a class but in the main html template, it is still the toolbar id.  Is this right?",0.0
"True, head doesn't make sense. I'll remove it.",1.0
I would call this parameter  since we don't know if it's a shake ID yet.,1.0
"Since it uses  and not , body will always be returned as is. Also there's a typo in github.",1.0
Please add issue number as a comment.,1.0
"Either way is fine with me, but let's make it very noticeable since this is a concern that's both common and subtle.",1.0
"It's been 4 months since I pushed this, so I will try to sum up the whole idea again in a single additional comment in this review. It's not that easy to analyze it by looking at some lines on isolation, as 
basically the change from the single lock scheme",0.0
"Do and both run every time the query string changes?  It seems like this case is covered in both methods, so it feels like one of them is redundant code.  walks the whole list of plugins, and if none of 
them ",1.0
"Oh, I got it. with arguments is not deprecated, but we can omit it if we already use.
silent rules are disabled by default so I use .",1.0
how about a max length validation on the model for the title .......  just a question...,0.0
Why did these need to change? the fact that it didn't break any tests means we have some untested and unverified cases here as well.,0.0
"You can use ( ... ) with a single item (not a tuple) to deal with the line length issue. Also, please do not editorialize in comments.
",1.0
Yes. I absolutely second that sentiment. Will push a fix later today.,1.0
"This line should perhaps be modified, now that the warnings are gone.",0.0
"yes, because of",1.0
"Sounds good, updated.",1.0
"I like explicit return values over implicit ones, but could be convinced otherwise.",1.0
I think this line should be removed.  What if we want to test that katello gives a proper error message when the description is left out?  We should be able to use this task for such a test.,1.0
not all systems use  that's why there was  ,0.0
"304 error : This does not really indicate an error, but rather indicates that the resource for the requested URL has not changed since last accessed or cached.

Is 304 really the correct error to use here? I'm not aware of any codes, and infact, I did l",0.0
"good - if it can  easily be handled, please do, and add it to the description of changes. Thanks Also that takes care of my concern above about  and  - they can go along with the sseccurrittyy folder.",1.0
Can you try using  instead of  or ?,1.0
"they're not required, sometimes my muscle memory from kicks in.",1.0
"okay, will put all of this into a new sub-project",1.0
Initially I loaded the context in the  module instead of the  module. We can delete this line.,1.0
"mmmmmmmmmm I'm not sure exactly.  is nice because we're essentially calling context on a list, and so we get the list back.",0.0
" ?

and, below, ",1.0
 returns empty array so we should probably start to dig from here.,1.0
"because the for loop starts at -1, it will loop once. For instance, if someone picks the dates 8/9/12 and 8/9/12 and chooses to recur on Monday, no loans would be added, because the time span is 
for one day, which is a Thursday. Similarly, if the user cho",1.0
"Each pig loader would set the config appropriately. In this current use case directly extends this class, so this conf is not used at all.

The config limitation applies only to MR jobs. If an MR job does need to use multiple i",1.0
"Ah, I see, later you also build a lookup table for the x values, hence it becomes ""analytic"" in the SBProfile sense.",1.0
Same re: class templating,1.0
Why is this necessary if it has an empty implementation?,0.0
"fair enough, I'll make the required changes",1.0
"Not really related to this commit, but it seems like this instrumentation might actually belong in the .",0.0
"OK, agreed. Now is like that.",1.0
public API? seems like an utility method that should go somewhere?,0.0
"Please fix this, thanks.",0.0
"Sorry, I overlooked this. Could you move this type to the main  namespace?",0.0
"Bah, yes, you are right. This is why one shouldn't write code in Github's editor.

In fact, the patch isn't even consistent in that it documents three values for the log kwarg, yet only implements only one. I was originally thinking of allowing the user t",1.0
Circles don't have vertices :)  But actually is this even used anywhere? It looks like  just calls ,0.0
"I think so, yeah.  removed.

RESOLVED",1.0
I like switching to shake in this situation,1.0
"*awesome* updates to test coverage.  I did a cursory sampling, but love how many new areas we're testing.",1.0
Didn't consider it as being used at the time but now that you mention it; I am adding a refactoring to allow the possibility,1.0
Nit: should use  instead of  (like you do in ),1.0
Isn't this method heavily duplicated from the?,1.0
Oops... Heh. Leftover fragment from debugging. I'll fix that right up.,0.0
Could use a better name?,0.0
"You're right concerning.
For Dz, you can simply loop over its elements, and zero them. There may be a simpler way, depending on what your Op is actually doing.
Anyway, you should launch the test with ",1.0
I think you should make the arguments match  exactly.,1.0
